"Número Contrato";"Código Órgão Superior";"Nome Órgão Superior";"Código Órgão";"Nome Órgão";"Código UG";"Nome UG";"Número Termo Aditivo";"Data Publicação";"Objeto"
"001162023";"20000";"Presidência da República";"20415";"Empresa Brasil de Comunicação";"115406";"EMPRESA BRASIL DE COMUNICACAO S.A";"000012024";"02/05/2024";"Objetivo: ALTERAR O PRAZO DE ENTREGA, PRORROGAR A VIG E RETIFICAR O ITEM 2, DO TÓPICO VIGÊNCIA, DO QUADRO RESUMO DO CONTRATO ORIGINAL."
"001892023";"20000";"Presidência da República";"20415";"Empresa Brasil de Comunicação";"115406";"EMPRESA BRASIL DE COMUNICACAO S.A";"000012024";"02/05/2024";"Objetivo: ALTERAR AS ESPECI TECNI DO BEM A SER FORNECIDO PARA OUTRAS DE MELHOR QUALIDADE E VANTAGEM TÉCNICA; ALTERAR O SEU PRAZO DE ENTREGA, PRORROGAR A VIGÊNCIA CONTRATUAL E RETIFICAR O ITEM 2 DO TÓPICO VIGÊNCIA, DO QUADRO RESUMO DO CONTRATO ORIGINAL."
"002162023";"20000";"Presidência da República";"20415";"Empresa Brasil de Comunicação";"115406";"EMPRESA BRASIL DE COMUNICACAO S.A";"000012024";"29/08/2024";"Objetivo: ACRESCER ÁREA DOS SERVIÇOS DE LIMPEZA E DISCRIMINAR OS DADOS DA NOTA DE EMPENHO DO EXERCÍCIO FINANCEIRO DE 2024"
"000182023";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"120006";"GRUPAMENTO DE APOIO DE BRASILIA";"000012024";"10/07/2024";"Objetivo: ACRESCENTAR 3,6% DO VALOR INICIAL ATUALIZADO CONTRATO, NOS MOLDES DO ART. 65, INCISO I, ALÍNEAS 'A' E 'B', §1º DA LEI 8.666/93."
"000372023";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"120039";"GRUPAMENTO DE APOIO DO RIO DE JANEIRO";"000012023";"13/11/2024";"Objetivo: 1.1.1. PRORROGAR O PRAZO DA VIGÊNCIA DO CONTRATO DE RECEITA Nº 037/GAPRJ-HCA/2023, CUJO OBJETO É A CESSÃO ONEROSA DE USO DE IMÓVEL DE DOMÍNIO DA UNIÃO, POR 12 (DOZE) MESES, CONTEMPLANDO-SE, NESTA OCASIÃO, O PERÍODO DE 02/12/2024 A 01/12/2025, NOS TERMOS DO ART. 57, II, DA LEI N.º 8.666, DE 1993."
"000192023";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"120060";"ACADEMIA DA FORCA AEREA";"000012024";"04/06/2024";"Objetivo: 1.1.1. 1.1.1.	SUPRESSÃO EM 6,66% (SEIS VÍRGULA SESSENTA E SEIS POR CENTO) DO VALOR DO CONTRATO A PARTIR DA DATA DE ASSINATURA DESTE INSTRUMENTO, EQUIVALENTE A R$ 41.978,81 (QUARENTA E UM MIL, NOVECENTOS E SETENTA E OITO REAIS E OITENTA E UM CENTAVOS), NOS MOLDES DO ART. 124, INCISO I, ALÍNEA 'A', DA LEI Nº 14.133/2021; 1.1.2. ACRÉSCIMO EM 12,48% (DOZE VÍRGULA QUARENTA E OITO POR CENTO) DO VALOR DO CONTRATO A PARTIR DA DATA DE ASSINATURA DESTE INSTRUMENTO, EQUIVALENTE A R$ 78.616,21 (SETENTA E OIT"
"000192023";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"120060";"ACADEMIA DA FORCA AEREA";"000022024";"15/10/2024";"Objetivo: 1.1.1. REGULARIZAR O 1º ADITIVO DE VALOR CONFECCIONADO CORRIGINDO O REAL VALOR DEVIDO À EMPRESA, HAJA VISTA HAVER SIDO APLICADO DESCONTO NOS ITENS SUPERIOR AO OFERTADO PELA EMPRESA. NO ANTERIOR, FOI CONSIDERADO 34,99% QUANDO NA VERDADE, DEVERIA SER CONSIDERADO 25,92%. TAL CORREÇÃO SERÁ DE R$ 10.852,60 (DEZ MIL OITOCENTOS E CINQUENTA E DOIS REAIS E SESSENTA CENTAVOS), NOS MOLDES DO ART. 124, INCISO I, DA LEI Nº 14.133/2021. 1.2. O VALOR INICIAL DO CONTRATO ERA DE R$ 630.000,00 (SEISCENTOS E TRINTA"
"000012023";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"120073";"BASE AEREA DE FLORIANOPOLIS";"000012024";"05/07/2024";"Objetivo: A PRORROGAÇÃO DO PRAZO DE VIGÊNCIA DO CONTRATO Nº 01/BAFL/2023 POR MAIS 146 (CENTO E QUARENTA E SEIS) DIAS, A PARTIR DE 11 DE AGOSTO DE 2024 ATÉ 04 DE JANEIRO DE 2025"
"001692023";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"120195";"CENTRO DE AQUISICOES ESPECIFICAS";"000012024";"10/10/2024";"Objetivo: PRORROGAR O PRAZO DA VIGÊNCIA DO CONTRATO Nº 169/CAE-OASD/2023, POR 12 (DOZE) MESES, CONTEMPLANDO-SE, NESTA OCASIÃO, O PERÍODO DE 09/01/2025 A 08/01/2026, PODENDO SER PRORROGADO SUCESSIVAMENTE, RESPEITADA A VIGÊNCIA MÁXIMA DECENAL, NA FORMA DO ARTIGO 107 DA LEI Nº 14.133, DE 2021"
"000322022";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"120623";"GRUPAMENTO DE APOIO DOS AFONSOS";"000012023";"23/02/2024";"Objetivo: PRIORROGAÇÃO DE PRAZOS DE VIGENCIA POR MAIS 90 (NOVENTA) DIAS E DE EXECUÇÃO POR MAIS 26 (VINTE E SEIS) DIAS DO CURSO DE ESPECIALIZAÇÃO EM ANÁLISE E PROJETO DE SISTEMAS  PARA A DIRAD"
"000272023";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"120628";"GRUPAMENTO DE APOIO DE BELEM";"000012024";"22/04/2024";"Objetivo: TENDO POR FINALIDADE A INCLUSÃO DE ITENS - SUPRESSÃO E ACRÉSCIMO DE VALOR PARA A EXECUÇÃO DO CONTRATO DE DESPESAS Nº 027/GAP-BE-CTRB/2023, POR MEIO DA CLÁUSULA DÉCIMA QUINTA DO REFERIDO CONTRATO E CONFORME DISPOSTO ART. 124, INCISO I ALÍNEAS 'A' E 'B' E ART. 125 DA LEI Nº 14.133, DE 1 DE ABRIL DE 2021."
"000272023";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"120628";"GRUPAMENTO DE APOIO DE BELEM";"000022024";"16/05/2024";"Objetivo: 1.1.	O PRESENTE TERMO ADITIVO TEM POR FINALIDADE A PRORROGAÇÃO POR MAIS 60 (SESSENTA) DIAS DO PRAZO DE VIGÊNCIA DO CONTRATO Nº 027/GAP-BE-CTRB/2023, CUJO OBJETO É A CONTRATAÇÃO DE SERVIÇOS COMUNS DE ENGENHARIA, RELACIONADOS À ADEQUAÇÃO DE CINCO SALAS DE AULA DO COLÉGIO TENENTE RÊGO BARROS, PARA A IMPLANTAÇÃO DO ENSINO A DISTÂNCIA (EAD), CONFORME PREVISTO NA CLÁUSULA 2.2 DO CONTRATO E NOS TERMOS DO DISPOSTO NO ART. 111 DA LEI Nº 14.133, DE 1º DE ABRIL DE 2021"
"000272023";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"120628";"GRUPAMENTO DE APOIO DE BELEM";"000032024";"31/07/2024";"Objetivo: O PRESENTE TERMO ADITIVO TEM POR OBJETO A PRORROGAÇÃO DO PRAZO DE VIGÊNCIA DO CONTRATO Nº 027/GAP-BE-CTRB/2023 POR MAIS 60 (SESSENTA) DIAS, A PARTIR DE 13/07/2024 ATÉ 07/09/2024, PODENDO SER PRORROGADO SUCESSIVAMENTE, RESPEITADA A VIGÊNCIA MÁXIMA DECENAL, NA FORMA DO ARTIGO 107 DA LEI Nº 14.133, DE 2021"
"000272023";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"120628";"GRUPAMENTO DE APOIO DE BELEM";"000042024";"10/09/2024";"Objetivo: O PRESENTE TERMO ADITIVO TEM POR OBJETO A PRORROGAÇÃO DO PRAZO DE VIGÊNCIA DO CONTRATO Nº027/GAP-BE-CTRB/2023 POR MAIS 60 (SESSENTA) DIAS, A PARTIR DE 08/09/2024 ATÉ 07/11/2024, PODENDO SER PRORROGADO SUCESSIVAMENTE, RESPEITADA A VIGÊNCIA MÁXIMA DECENAL, NA FORMA DO ARTIGO 107 DA LEI Nº 14.133, DE 2021."
"000272023";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"120628";"GRUPAMENTO DE APOIO DE BELEM";"000052024";"18/11/2024";"Objetivo: O PRESENTE TERMO ADITIVO TEM POR OBJETO A PRORROGAÇÃO DO PRAZO DE VIGÊNCIA DO CONTRATO Nº 027/GAP-BE-CTRB/2023 POR MAIS 30 (TRINTA) DIAS, A PARTIR DE 07/11/2024 ATÉ 07/12/2024, PODENDO SER PRORROGADO SUCESSIVAMENTE, RESPEITADA A VIGÊNCIA MÁXIMA DECENAL, NA FORMA DO ARTIGO 107 DA LEI Nº 14.133, DE 2021."
"000092023";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"120629";"GRUPAMENTO DE APOIO DE CANOAS";"000012024";"21/11/2024";"Objetivo: PRORROGAR O PRAZO DE VIGÊNCIA DO CREDENCIAMENTO N° 009/GAPCO-HACO/2023, POR 12 (DOZE) MESES, DE PRESTAÇÃO DE SERVIÇOS DE APOIO MULTIDISCIPLINAR, CONFORME PROPOSTA CONSTANTE NO PAG, AOS BENEFICIÁRIOS DO SISTEMA DE SAÚDE DA AERONÁUTICA (SISAU) E, EVENTUALMENTE, AOS BENEFICIÁRIOS DO SISTEMA DE SAÚDE DE OUTRAS FORÇAS SINGULARES."
"001372023";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"120629";"GRUPAMENTO DE APOIO DE CANOAS";"000012024";"31/10/2024";"Objetivo: REAJUSTAR E PRORROGAR O PRAZO DE VIGÊNCIA DO CONTRATO N° 137/GAPCO-HACO/2023, POR 12 (DOZE) MESES, CONTRATAÇÃO, DE SERVIÇOS DE GERENCIAMENTO E MANUTENÇÃO DE EQUIPAMENTOS DE USO MÉDICO-HOSPITALAR EM GERAL, USO ODONTOLÓGICO, USO OFTALMOLÓGICO E USO FISIOTERAPÊUTICO EXISTENTES NO HOSPITAL DE AERONÁUTICA DE CANOAS (HACO)"
"001472023";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"120629";"GRUPAMENTO DE APOIO DE CANOAS";"000012024";"26/08/2024";"Objetivo: PRORROGAR O PRAZO DE VIGÊNCIA DO CONTRATO N° 147/GAPCO-HACO/2023, POR 12 (DOZE) MESES,O OBJETO DO PRESENTE INSTRUMENTO É A CONTRATAÇÃO, EM CARÁTER CONTÍNUO, DE EMPRESA(S) ESPECIALIZADA(S) NA PRESTAÇÃO DE SERVIÇOS DE GERENCIAMENTO E MANUTENÇÃO DE EQUIPAMENTOS DE USO MÉDICO-HOSPITALAR EM GERAL, USO ODONTOLÓGICO, USO OFTALMOLÓGICO E USO FISIOTERAPÊUTICO EXISTENTES NO HOSPITAL DE AERONÁUTICA DE CANOAS (HACO)."
"001482023";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"120629";"GRUPAMENTO DE APOIO DE CANOAS";"000012024";"31/05/2024";"Objetivo: PRORROGAR DOS PRAZOS DE EXECUÇÃO POR MAIS 60 (SESSENTA) DIAS, E DE VIGÊNCIA POR MAIS 90 (NOVENTA) DIAS, PASSANDO O PRAZO DE EXECUÇÃO DE 05/01/2024 A 05/03/2024 PARA 05/01/2024 A 04/05/2024 E O PRAZO DE VIGÊNCIA DE 08/12/2023 A 05/06/2024 PARA 08/12/2023 A 03/09/2024, CONFORME PREVISTO NA CLÁUSULA SEGUNDA DO CONTRATO ORIGINAL, MOTIVADA E APROVADA PELO PARECER Nº 2/1473/2024 DA FISCALIZAÇÃO, COM PREVISÃO LEGAL NO INCISO I DO ARTIGO 111 DA LEI 14.133/2021."
"001482023";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"120629";"GRUPAMENTO DE APOIO DE CANOAS";"000022024";"30/08/2024";"Objetivo: PRORROGAR OS PRAZOS DE EXECUÇÃO POR MAIS 60 (SESSENTA) DIAS, E DE VIGÊNCIA POR MAIS 90 (NOVENTA) DIAS, PASSANDO O PRAZO DE EXECUÇÃO DE 05/01/2024 A 04/05/2024 PARA 05/01/2024 A 03/07/2024 E O PRAZO DE VIGÊNCIA DE 08/12/2023 A 03/09/2024 PARA 08/12/2023 A 02/12/2024, CONFORME PREVISTO NA CLÁUSULA SEGUNDA DO CONTRATO Nº 148/GAPCO-BACO/2023."
"001542023";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"120629";"GRUPAMENTO DE APOIO DE CANOAS";"000012024";"20/06/2024";"Objetivo: PRORROGAR OS PRAZOS DE EXECUÇÃO E DE VIGÊNCIA POR MAIS 60 (SESSENTA) DIAS, PASSANDO O PRAZO DE EXECUÇÃO DE 11/12/2023 A 09/04/2024 PARA 11/12/2023 A 08/06/2024 E O PRAZO DE VIGÊNCIA DE 07/12/2023 A 07/08/2024 PARA 07/12/2023 A 06/10/2024. EFETUAR A SUPRESSÃO NO VALOR DE R$ 167.789,67, EQUIVALENTE A 24,08% DO VALOR CONTRATADO, E O ACRÉSCIMO DE R$ 169.810,24, EQUIVALENTE A 24,37% DO VALOR DO CONTRATO."
"001542023";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"120629";"GRUPAMENTO DE APOIO DE CANOAS";"000022024";"23/08/2024";"Objetivo: SUSPENSÃO DOS PRAZOS DE EXECUÇÃO E VIGÊNCIA DO CONTRATO POR 45 DIAS APÓS O DIA 01 MAIO 2024 E PRORROGAR AUTOMATICAMENTE, APÓS O FIM DA SUSPENSÃO, OS PRAZOS DE EXECUÇÃO E DE VIGÊNCIA POR MAIS 45 (QUARENTA E CINCO) DIAS, PASSANDO O PRAZO DE EXECUÇÃO DE 11/12/2023 A 08/06/2024 PARA 11/12/2023 A 23/07/2024 E O PRAZO DE VIGÊNCIA DE 07/12/2023 A 06/10/2024 PARA 07/12/2023 A 21/11/2024. CT 154/GAPCO-BACO/2023."
"001552023";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"120629";"GRUPAMENTO DE APOIO DE CANOAS";"000012024";"06/09/2024";"Objetivo: PRORROGAR OS PRAZOS DE EXECUÇÃO POR MAIS 150 (CENTO E CINQUENTA) DIAS, E DE VIGÊNCIA POR MAIS 150 (CENTO E CINQUENTA) DIAS, PASSANDO O PRAZO DE EXECUÇÃO DE 08/12/2023 A 05/06/2024 PARA 08/12/2023 A 02/11/2024 E O PRAZO DE VIGÊNCIA DE 08/12/2023 A 03/10/2024 PARA 08/12/2023 A 02/03/2025. E SUPRESSÃO DO VALOR DE R$ 7.334,24 (SETE MIL TREZENTOS E TRINTA E QUATRO REAIS E VINTE E QUATRO CENTAVOS), PERFAZENDO 1,9% DO VALOR DO CONTRATO N° 155/ GAPCO-BACO/2023, COM PREVISÃO LEGAL NO INCISO I DO ARTIGO"
"000162023";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"120630";"GRUPAMENTO DE APOIO DE MANAUS";"000012024";"02/10/2024";"Objetivo: 1° TERMO ADITIVO CUJO A FINALIDADE É A PRORROGAÇÃO DO PRAZO DE VIGÊNCIA POR MAIS 12 MESES E O REAJUSTE DE 3,93% CONFORME DADOS BÁSICOS DA CORREÇÃO PELO ÍNDICE IPCA. ONDE O OBJETO É A AQUISIÇÃO DE GÁS LIQUEFEITO DE PETRÓLEO (GLP)"
"000212023";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"120631";"BASE AEREA DE NATAL";"000012024";"27/08/2024";"Objetivo: ACRÉSCIMO, SUPRESSÃO E PRORROGAÇÃO DO PRAZO DE EXECUÇÃO CONTRATUAL"
"000222023";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"120631";"BASE AEREA DE NATAL";"000012024";"18/09/2024";"Objetivo: ACRÉSCIMO, SUPRESSÃO, ALTERAÇÃO DO PRAZO DE PARALISAÇÃO DA OBRA E PRORROGAÇÃO DO PRAZO DE VIGÊNCIA, MANTIDAS AS DEMAIS CLÁUSULAS DO CONTRATO E ASSEGURADA A MANUTENÇÃO DO EQUILÍBRIO ECONÔMICO-FINANCEIRO"
"000252023";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"120631";"BASE AEREA DE NATAL";"000012024";"26/07/2024";"Objetivo: PRORROGAR OS PRAZOS DA VIGÊNCIA E EXECUÇÃO POR MAIS 47 (QUARENTA E SETE) DIAS E INCLUSÃO DE NOVOS ITENS/SERVIÇOS DO CONTRATO, AUMENTANDO O VALOR INICIAL DO CONTRATO EM R$4.564,85 (QUATRO MIL, QUINHENTOS E SESSENTA E QUATRO REAIS E OITENTA E CINCO CENTAVOS), A CONTAR DA ASSINATURA DO TERMO ADITIVO, MANTIDAS AS DEMAIS CLÁUSULAS DO CONTRATO E ASSEGURADA A MANUTENÇÃO DO EQUILÍBRIO ECONÔMICO-FINANCEIRO"
"000032023";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"120632";"GRUPAMENTO DE APOIO DE RECIFE";"000012024";"27/05/2024";"Objetivo: PRORROGAR POR MAIS 12 (DOZE) MESES O PRAZO DE VIGÊNCIA DO CONTRATO Nº 003/GAPRFCINDACTAIII/2023, CONTEMPLANDO O PERÍODO DE 11 DE MAIO DE 2024 A 10 DE MAIO DE 2025 NOS TERMOS NO ARTIGO 57, INCISO II, A LEI Nº 8.666/93 E NA CLÁUSULA 2ª DO REFERIDO CONTRATO."
"000082023";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"120632";"GRUPAMENTO DE APOIO DE RECIFE";"000012023";"15/06/2024";"Objetivo: PRORROGAR POR MAIS 12 (DOZE) MESES O PRAZO DE VIGÊNCIA DO CONTRATO Nº 008/GAPRF- CINDACTAIII/2023, CONTEMPLANDO O PERÍODO DE 03 DE JUNHO DE 2024 A 02 DE JUNHO DE 2025 NOS TERMOS Nº ARTIGO 57, INCISO II, A LEI Nº 8.666/93 E NA CLÁUSULA 2ª DO REFERIDO CONTRATO."
