"Código Órgão";"Nome Órgão";"Código UG";"Nome UG";"Número Contrato";"Código Item Compra";"Descrição Item Compra";"Descrição Complementar Item Compra";"Quantidade Item";"Valor Item"
"26430";"Instituto Federal do Sertão de Pernambuco";"158499";"INST.FED.SERTAO PERNAMBUCANO/CAMPUS PETROLINA";"000012023";"1584990500015202200015";"PRESTAÇÃO DE SERVIÇO DE LIMPEZA E CONSERVAÇÃO - ÁREAS INTERNAS - OUTRAS NECESSIDADES - OUTRA PRODUTIVIDADE";"PRESTAÇÃO DE SERVIÇO DE LIMPEZA E CONSERVAÇÃO - ÁREAS INTERNAS - OUTRAS NECES SIDADES - OUTRA PRODUTIVIDADE - ÁREAS COM ESPAÇOS LIVRES  SAGUÃO, HALL E SALÃ O.";"4092";"13,91"
"52131";"Comando da Marinha";"787200";"GRUPAMENTO DE FUZILEIROS NAVAIS_DE BRASILIA";"000012023";"7872000500001202300004";"OUTSOURCING DE IMPRESSÃO - LOCAÇÃO PÁGINAS IMPRESSAS A4 POLICROMÁTICA SEM PAPEL";"OUTSOURCING DE IMPRESSÃO - LOCAÇÃO PÁGINAS IMPRESSAS A4 POLICROMÁTICA SEM PAPEL";"250";"0,03"
"26430";"Instituto Federal do Sertão de Pernambuco";"158499";"INST.FED.SERTAO PERNAMBUCANO/CAMPUS PETROLINA";"000012023";"1584990500015202200013";"PRESTAÇÃO DE SERVIÇO DE LIMPEZA E CONSERVAÇÃO - ÁREAS INTERNAS - OUTRAS NECESSIDADES - OUTRA PRODUTIVIDADE";"PRESTAÇÃO DE SERVIÇO DE LIMPEZA E CONSERVAÇÃO - ÁREAS INTERNAS - OUTRAS NECES SIDADES - OUTRA PRODUTIVIDADE - LABORATÓRIOS.";"2085";"115,98"
"52131";"Comando da Marinha";"787200";"GRUPAMENTO DE FUZILEIROS NAVAIS_DE BRASILIA";"000012023";"7872000500001202300002";"OUTSOURCING DE IMPRESSÃO - LOCAÇÃO PÁGINAS IMPRESSAS A4 SEMPAPEL";"OUTSOURCING DE IMPRESSÃO - LOCAÇÃO PÁGINAS IMPRESSAS A4 SEMPAPEL";"4500";"0,03"
"26430";"Instituto Federal do Sertão de Pernambuco";"158499";"INST.FED.SERTAO PERNAMBUCANO/CAMPUS PETROLINA";"000012023";"1584990500015202200014";"PRESTAÇÃO DE SERVIÇO DE LIMPEZA E CONSERVAÇÃO - ÁREAS INTERNAS - OUTRAS NECESSIDADES - OUTRA PRODUTIVIDADE";"PRESTAÇÃO DE SERVIÇO DE LIMPEZA E CONSERVAÇÃO - ÁREAS INTERNAS - OUTRAS NECES SIDADES - OUTRA PRODUTIVIDADE - ALMOXARIFADO.";"482";"13,91"
"52131";"Comando da Marinha";"787200";"GRUPAMENTO DE FUZILEIROS NAVAIS_DE BRASILIA";"000012023";"7872000500001202300005";"OUTSOURCING DE IMPRESSÃO - LOCAÇÃO PÁGINAS IMPRESSAS A4 POLICROMÁTICA SEM PAPEL";"OUTSOURCING DE IMPRESSÃO - LOCAÇÃO PÁGINAS IMPRESSAS A4 POLICROMÁTICA SEM PAPEL";"500";"0,40"
"26430";"Instituto Federal do Sertão de Pernambuco";"158499";"INST.FED.SERTAO PERNAMBUCANO/CAMPUS PETROLINA";"000012023";"1584990500015202200020";"PRESTAÇÃO DE SERVIÇO DE LIMPEZA E CONSERVAÇÃO - ÁREAS EXTER-NAS - OUTRAS NECESSIDADES.";"PRESTAÇÃO DE SERVIÇO DE LIMPEZA E CONSERVAÇÃO - ÁREAS EXTERNAS - OUTRAS NECESS IDADES - PÁTIOS E ÁREAS VERDES COM BAIXA FREQUÊNCIA.";"100";"11,59"
"52131";"Comando da Marinha";"787200";"GRUPAMENTO DE FUZILEIROS NAVAIS_DE BRASILIA";"000012023";"7872000500001202300003";"OUTSOURCING DE IMPRESSÃO - LOCAÇÃO PÁGINAS IMPRESSAS A4 POLICROMÁTICA SEM PAPEL";"OUTSOURCING DE IMPRESSÃO - LOCAÇÃO PÁGINAS IMPRESSAS A4 POLICROMÁTICA SEM PAPEL";"1000";"0,10"
"26430";"Instituto Federal do Sertão de Pernambuco";"158499";"INST.FED.SERTAO PERNAMBUCANO/CAMPUS PETROLINA";"000012023";"1584990500015202200021";"PRESTAÇÃO DE SERVIÇO DE LIMPEZA E CONSERVAÇÃO - ÁREAS EXTER-NAS - OUTRAS NECESSIDADES.";"PRESTAÇÃO DE SERVIÇO DE LIMPEZA E CONSERVAÇÃO - ÁREAS EXTERNAS - OUTRAS NECESS IDADES - COLETA DE DETRITOS EM PÁTIOS E ÁREAS VERDES COM FREQUÊNCIA DIÁRIA.";"10000";"0,41"
"52131";"Comando da Marinha";"787200";"GRUPAMENTO DE FUZILEIROS NAVAIS_DE BRASILIA";"000012023";"7872000500001202300006";"OUTSOURCING DE IMPRESSÃO - LOCAÇÃO PÁGINAS IMPRESSAS A4 POLICROMÁTICA SEM PAPEL";"OUTSOURCING DE IMPRESSÃO - LOCAÇÃO PÁGINAS IMPRESSAS A4 POLICROMÁTICA SEM PAPEL";"125";"0,21"
"26430";"Instituto Federal do Sertão de Pernambuco";"158499";"INST.FED.SERTAO PERNAMBUCANO/CAMPUS PETROLINA";"000012023";"1584990500015202200025";"PRESTAÇÃO DE SERVIÇO DE LIMPEZA E CONSERVAÇÃO - ÁREAS HOSPI-TALARES - OUTRAS NECESSIDADES - OUTRA PRODUTIVIDADE";"PRESTAÇÃO DE SERVIÇO DE LIMPEZA E CONSERVAÇÃO - ÁREAS HOSPITALARES - OUTRAS NE CESSIDADES - OUTRA PRODUTIVIDADE - ÁREAS HOSPITALARES E ASSEMELHADAS.";"112";"115,98"
"52121";"Comando do Exército";"160200";"PARQUE REGIONAL DE MANUTENCAO/7";"000012023";"1602000700001202300001";"PUBLICAÇÃO, IMPRESSÃO DE JORNAL / REVISTA / LIVRO";"PUBLICAÇÃO, IMPRESSÃO DE JORNAL / REVISTA / LIVRO";"1";"8000,00"
"26430";"Instituto Federal do Sertão de Pernambuco";"158499";"INST.FED.SERTAO PERNAMBUCANO/CAMPUS PETROLINA";"000012023";"1584990500015202200019";"PRESTAÇÃO DE SERVIÇO DE LIMPEZA E CONSERVAÇÃO - ÁREAS EXTER-NAS - OUTRAS NECESSIDADES.";"PRESTAÇÃO DE SERVIÇO DE LIMPEZA E CONSERVAÇÃO - ÁREAS EXTERNAS - OUTRAS NECESS IDADES - PÁTIOS E ÁREAS VERDES COM MÉDIA FREQUÊNCIA.";"56";"11,59"
"52131";"Comando da Marinha";"783800";"BASE NAVAL DE NATAL";"000012023";"7838000500003202300004";"CHAMADAS LOCAIS FIXO-FIXO STFC-LOCAL-FF";"CHAMADAS LOCAIS FIXO-FIXO STFC-LOCAL-FF";"15000";"0,26"
"26430";"Instituto Federal do Sertão de Pernambuco";"158499";"INST.FED.SERTAO PERNAMBUCANO/CAMPUS PETROLINA";"000012023";"1584990500015202200018";"PRESTAÇÃO DE SERVIÇO DE LIMPEZA E CONSERVAÇÃO - ÁREAS EXTER-NAS - OUTRAS NECESSIDADES.";"PRESTAÇÃO DE SERVIÇO DE LIMPEZA E CONSERVAÇÃO - ÁREAS EXTERNAS - OUTRAS NECESS IDADES - PÁTIOS E ÁREAS VERDES COM ALTA FREQUÊNCIA.";"150";"11,59"
"52131";"Comando da Marinha";"783800";"BASE NAVAL DE NATAL";"000012023";"7838000500003202300001";"ASSINATURA DE DDR";"ASSINATURA DE DDR";"2";"248,34"
"26430";"Instituto Federal do Sertão de Pernambuco";"158499";"INST.FED.SERTAO PERNAMBUCANO/CAMPUS PETROLINA";"000012023";"1584990500015202200016";"PRESTAÇÃO DE SERVIÇO DE LIMPEZA E CONSERVAÇÃO - ÁREAS INTERNAS - OUTRAS NECESSIDADES - OUTRA PRODUTIVIDADE";"PRESTAÇÃO DE SERVIÇO DE LIMPEZA E CONSERVAÇÃO - ÁREAS INTERNAS - OUTRAS NECES SIDADES - OUTRA PRODUTIVIDADE - BANHEIROS  ÁREAS INSALUBRES.";"831";"191,37"
"52131";"Comando da Marinha";"783800";"BASE NAVAL DE NATAL";"000012023";"7838000500003202300003";"ASSINATURA DE DDR";"ASSINATURA DE DDR";"180";"131,00"
"26430";"Instituto Federal do Sertão de Pernambuco";"158499";"INST.FED.SERTAO PERNAMBUCANO/CAMPUS PETROLINA";"000012023";"1584990500015202200024";"PRESTAÇÃO DE SERVIÇO DE LIMPEZA E CONSERVAÇÃO - FACHADAS  ENVIDRAÇADAS - FREQÜÊNCIA 8H/SEMESTRE - OUTRA PRODUTIV";"PRESTAÇÃO DE SERVIÇO DE LIMPEZA E CONSERVAÇÃO - FACHADAS  ENVIDRAÇADAS - FRE QÜÊNCIA 8H/SEMESTRE - OUTRA PRODUTIVIDADE - FACE INTERNA.";"868";"23,26"
"52131";"Comando da Marinha";"783800";"BASE NAVAL DE NATAL";"000012023";"7838000500003202300008";"CHAMADAS NACIONAIS FIXO-MOVEL - STFC-LDN-FM (VC2 E VC3)";"CHAMADAS NACIONAIS FIXO-MOVEL - STFC-LDN-FM (VC2 E VC3)";"900";"0,56"
"26430";"Instituto Federal do Sertão de Pernambuco";"158499";"INST.FED.SERTAO PERNAMBUCANO/CAMPUS PETROLINA";"000012023";"1584990500015202200017";"PRESTAÇÃO DE SERVIÇO DE LIMPEZA E CONSERVAÇÃO - ÁREAS EXTER-NAS - OUTRAS NECESSIDADES.";"PRESTAÇÃO DE SERVIÇO DE LIMPEZA E CONSERVAÇÃO - ÁREAS EXTERNAS - OUTRAS NECESS IDADES - VARRIÇÃO DE PASSEIOS E ARRUAMENTOS.";"4996";"1,16"
"52131";"Comando da Marinha";"783800";"BASE NAVAL DE NATAL";"000012023";"7838000500003202300007";"CHAMADAS LOCAIS FIXO-MOVEL STFC-LOCAL-FM (VC1)";"CHAMADAS LOCAIS FIXO-MOVEL STFC-LOCAL-FM (VC1)";"18000";"0,26"
"26430";"Instituto Federal do Sertão de Pernambuco";"158499";"INST.FED.SERTAO PERNAMBUCANO/CAMPUS PETROLINA";"000012023";"1584990500015202200011";"PRESTAÇÃO DE SERVIÇO DE LIMPEZA E CONSERVAÇÃO - ÁREAS INTERNAS - OUTRAS NECESSIDADES - OUTRA PRODUTIVIDADE";"PRESTAÇÃO DE SERVIÇO DE LIMPEZA E CONSERVAÇÃO - ÁREAS INTERNAS - OUTRAS NECES SIDADES - OUTRA PRODUTIVIDADE - PISOS ACARPETADOS.";"634";"52,19"
"52131";"Comando da Marinha";"783800";"BASE NAVAL DE NATAL";"000012023";"7838000500003202300009";"CHAMADAS NACIONAIS FIXO-MOVEL - STFC-LDN-FM (VC2 E VC3)";"CHAMADAS NACIONAIS FIXO-MOVEL - STFC-LDN-FM (VC2 E VC3)";"900";"0,59"
"26430";"Instituto Federal do Sertão de Pernambuco";"158499";"INST.FED.SERTAO PERNAMBUCANO/CAMPUS PETROLINA";"000012023";"1584990500015202200023";"PRESTAÇÃO DE SERVIÇO DE LIMPEZA E CONSERVAÇÃO - FACHADAS  ENVIDRAÇADAS - FREQÜÊNCIA 8H/SEMESTRE - OUTRA PRODUTIV";"PRESTAÇÃO DE SERVIÇO DE LIMPEZA E CONSERVAÇÃO - FACHADAS  ENVIDRAÇADAS - FRE QÜÊNCIA 8H/SEMESTRE - OUTRA PRODUTIVIDADE - FACE EXTERNA SEM EXPOSIÇÃO A SITUA ÇÃO DE RISCO.";"970";"23,26"
"52131";"Comando da Marinha";"783800";"BASE NAVAL DE NATAL";"000012023";"7838000500003202300010";"CHAMADAS INTERNACIONAIS (LDI-STFC-FF) - ORIGEM FIXO";"CHAMADAS INTERNACIONAIS (LDI-STFC-FF) - ORIGEM FIXO";"30";"1,74"
"52121";"Comando do Exército";"160438";"COMANDO 2 BRIGADA DE CAVALARIA MECANIZADA";"000012023";"1604380700001202300001";"CONSULTA PARA TRATAMENTO PSICOLÓGICO";"PSICOLOGIA - TERAPIA";"1";"60000,00"
"52131";"Comando da Marinha";"783800";"BASE NAVAL DE NATAL";"000012023";"7838000500003202300005";"CHAMADAS NACIONAIS FIXO-FIXO STFC-LDN-FF (DEGRAUS 1 A 4)";"CHAMADAS NACIONAIS FIXO-FIXO STFC-LDN-FF (DEGRAUS 1 A 4)";"15000";"0,30"
"52111";"Comando da Aeronáutica";"120073";"BASE AEREA DE FLORIANOPOLIS";"000012023";"1200730300001202300001";"ESTUDOS E PROJETOS DE ESTRUTURAS - CONCRETO ARMADO";"ESTUDOS E PROJETOS DE ESTRUTURAS - CONCRETO ARMADO";"1";"269000,00"
"52131";"Comando da Marinha";"783800";"BASE NAVAL DE NATAL";"000012023";"7838000500003202300002";"ASSINATURA DE DDR";"ASSINATURA DE DDR";"60";"486,85"
"52131";"Comando da Marinha";"783800";"BASE NAVAL DE NATAL";"000012023";"7838000500003202300006";"CHAMADAS NACIONAIS FIXO-FIXO STFC-LDN-FF (DEGRAUS 1 A 4)";"CHAMADAS NACIONAIS FIXO-FIXO STFC-LDN-FF (DEGRAUS 1 A 4)";"9000";"0,11"
"26432";"Instituto Federal do Paraná";"156546";"INST. FED. DO PARANA/CAMPUS UNIAO DA VITORIA";"000012024";"1565460500038202300085";"PRESTAÇÃO DE SERVIÇOS DE APOIO ADMINISTRATIVO";"PRESTAÇÃO DE SERVIÇOS DE APOIO ADMINISTRATIVO - UNIÃO DA VITÓRIA";"20";"6980,99"
"26406";"Instituto Federal do Espírito Santo";"158151";"INST.FED.DE EDUC.,CIENC.E TEC.DO ESP.SANTO";"000012024";"1581510600138202300001";"ASSINATURA - PUBLICAÇÃO INFORMATIZADA";"CONTRATAÇÃO DE SERVIÇO DE ASSINATURA DE BASE DE DADOS COM COLETÂNEA DIGITAL DE TODAS AS NORMAS TÉCNICAS BRASILEIRAS (NBR) DA ASSOCIAÇÃO BRASILEIRA DE NORMAS TÉCNICAS (ABNT) E MERCOSUL (AMN), COM DISPONIBILIZAÇÃO DE CONSULTA / VISUALIZAÇÃO E IMPRESSÃO ILIMITADA DA COLEÇÃO DE NORMAS CONTRATADAS, VIA INTERNET, COM RECURSOS DE ATUALIZAÇÃO E GERENCIAMENTO, A SEREM DISTRIBUÍDAS, EM FORMATO DIGITAL, PARA O IFES, PELO PERÍODO INICIAL DE UM ANO.";"1";"18900,00"
"26432";"Instituto Federal do Paraná";"156546";"INST. FED. DO PARANA/CAMPUS UNIAO DA VITORIA";"000012024";"1565460500038202300086";"PRESTAÇÃO DE SERVIÇOS DE APOIO ADMINISTRATIVO";"PRESTAÇÃO DE SERVIÇOS DE APOIO ADMINISTRATIVO - UNIÃO DA VITÓRIA";"20";"7814,16"
"36000";"Ministério da Saúde - Unidades com vínculo";"250105";"HOSPITAL FEDERAL DA LAGOA";"000012024";"2501050600001202400001";"FORNECIMENTO DE REFEIÇÕES , LANCHES , SALGADOS , DOCES";"FORNECIMENTO DE REFEIÇÕES / LANCHES / SALGADOS / DOCES";"1";"994398,69"
"26443";"Empresa Brasileira de Serviços Hospitalares";"156956";"HOSPITAL UNIVERSITARIO DA UNIV. FED. DO AMAPA";"000012024";"1569560500003202300002";"INSTALAÇÃO / MANUTENÇÃO / EXPANSÃO / PROGRAMAÇÃO - EQUIPAMENTO TELEFÔNICO";"INSTALAÇÃO / MANUTENÇÃO / EXPANSÃO / PROGRAMAÇÃO / LOCAÇÃO EQUIPAMENTO TELEFÔNICO";"590";"29,00"
"26427";"Instituto Federal da Bahia";"158591";"INST. FED. DA BAHIA/CAMPUS SEABRA";"000012024";"1585910500012202300019";"PRESTAÇÃO DE SERVIÇOS DE APOIO ADMINISTRATIVO";"PRESTAÇÃO DE SERVIÇOS DE APOIO ADMINISTRATIVO";"2";"3756,34"
"36000";"Ministério da Saúde - Unidades com vínculo";"257045";"DISTRITO SANIT.ESP.INDIGENA - TAPAJOS";"000012024";"2570450200004202300001";"OBRAS CIVIS DE SANEAMENTO - CAPTAÇÃO, ADUÇÃO E DISTRIBUIÇÃODE ÁGUA E ESGOTO SANITÁRIO";"OBRAS CIVIS DE SANEAMENTO - CAPTAÇÃO, ADUÇÃO E DISTRIBUIÇÃO DE ÁGUA E ESGOTOSANITÁRIO. OBRA DE IMPLANTAÇÃO DO SISTEMA DE ABASTECIMENTO DE ÁGUA - SAA, COMPERFURAÇÃO DE POÇO PROFUNDO, CONSTRUÇÃO DE NOVO RESERVATÓRIO, REFORMA E AMPLIAÇÃO DA REDE DE DISTRIBUIÇÃO PARA AS RESIDÊNCIAS NA ALDEIA KUBENKOKRE.";"1";"1348430,19"
"26427";"Instituto Federal da Bahia";"158591";"INST. FED. DA BAHIA/CAMPUS SEABRA";"000012024";"1585910500012202300016";"SERVIÇO ESPECIALIZADO DE LIMPEZA";"SERVIÇO ESPECIALIZADO DE LIMPEZA";"1";"18134,27"
"26443";"Empresa Brasileira de Serviços Hospitalares";"156956";"HOSPITAL UNIVERSITARIO DA UNIV. FED. DO AMAPA";"000012024";"1569560500003202300001";"INSTALAÇÃO / MANUTENÇÃO / EXPANSÃO / PROGRAMAÇÃO - EQUIPAMENTO TELEFÔNICO";"INSTALAÇÃO / MANUTENÇÃO / EXPANSÃO / PROGRAMAÇÃO / LOCAÇÃO EQUIPAMENTO TELEFÔNICO";"5";"1464,33"
"26443";"Empresa Brasileira de Serviços Hospitalares";"155903";"HOSPITAL UNIVERSITARIO DA UFJF";"000012024";"1559030500024202300001";"APLICADOR TIPO PISTOLA";"APLICADOR TIPO PISTOLA";"3";"0,00"
"52121";"Comando do Exército";"160186";"BASE ADMINISTRATIVA DO QGEX";"000012024";"1601860500009202300001";"MANUTENÇÃO , REFORMA PREDIAL";"MANUTENÇÃO / REFORMA PREDIAL COMPLEXO DO QGEX COMPOSTO POR 10 BLOCO (BLOCO A A O J)/ ANEXO I";"9626";"29,98"
"26427";"Instituto Federal da Bahia";"158591";"INST. FED. DA BAHIA/CAMPUS SEABRA";"000012024";"1585910500012202300017";"PRESTAÇÃO DE SERVIÇOS DE APOIO ADMINISTRATIVO";"PRESTAÇÃO DE SERVIÇOS DE APOIO ADMINISTRATIVO";"1";"3708,96"
"26420";"Instituto Federal Farroupilha";"158504";"CAMPUS DE SANTA ROSA";"000012024";"1585040500032202300117";"MANUTENÇÃO DE SISTEMAS DE REFRIGERAÇÃO";"SERVIÇO DE MANUTENÇÃO CORRETIVA/PREVENTIVA DE EQUIPAMENTOS DE REFRIGERAÇÃO DA ESPÉCIE GELADEIRAS, REFRIGERADORES, FREEZER, AQUECEDOR ELÉTRICO DE AGUA (QUENT INHA), FRIGOBAR E BEBEDOUROS.";"80";"230,00"
"26428";"Instituto Federal de Brasília";"152140";"IFB - CAMPUS TAGUATINGA NORTE";"000012024";"1521400500042202300012";"REFRIGERADOR DUPLEX";"REFRIGERADOR DUPLEX, CAPACIDADE REFRIGERAÇÃO 450 L, SISTEMA DEGELO FROST FREE, TENSÃO ALIMENTAÇÃO 220 V, CARACTERÍSTICAS ADICIONAIS ETIQUETA EFICIÊNCIA ENERGÉTICA 'A', TIPO VERTICAL";"4";"3369,00"
"25205";"Fundação Instituto Brasileiro de Geografia ";"114601";"FUNDACAO IBGE-ADMINISTRACAO CENTRAL/RJ";"000012024";"1146010500107202300001";"PRESTAÇÃO DE SERVIÇOS DE MOTORISTA";"PRESTAÇÃO DE SERVIÇOS DE MOTORISTA";"11";"53636,16"
"26405";"Instituto Federal do Ceará";"158961";"CAMPUS CAMOCIM/IFCE";"000012024";"1589610100001202300001";"OBRAS CIVIS PÚBLICAS ( CONSTRUÇÃO )";"OBRAS CIVIS PÚBLICAS ( CONSTRUÇÃO )";"1";"155140,94"
"52131";"Comando da Marinha";"765720";"HOSPITAL NAVAL MARCILIO DIAS";"000012024";"7657200500007202300020";"NUTRICIONISTA";"NUTRICIONISTA";"6";"4688,88"
"26427";"Instituto Federal da Bahia";"158591";"INST. FED. DA BAHIA/CAMPUS SEABRA";"000012024";"1585910500012202300018";"PRESTAÇÃO DE SERVIÇOS DE APOIO ADMINISTRATIVO";"PRESTAÇÃO DE SERVIÇOS DE APOIO ADMINISTRATIVO";"1";"3766,56"
"26420";"Instituto Federal Farroupilha";"158504";"CAMPUS DE SANTA ROSA";"000012024";"1585040500032202300119";"MANUTENÇÃO DE SISTEMAS DE REFRIGERAÇÃO";"SERVIÇO DE MANUTENÇÃO CORRETIVA/PREVENTIVA DE EQUIPAMENTOS E APARELHOS INDUSTR IAIS DE COZINHA E CONFEITARIA, AQUECIMENTO, COCÇÃO E ASSAMENTO, AQUECEDOR DE Á GUA, BOILER E LAVADORA LOUÇAS.";"75";"240,00"
"46000";"Ministério da Gestão e da Inovação em Ser";"170131";"SUPERINTENDENCIA REG. ADM. DO MGI - SAO PAULO";"000012024";"1701310600098202300001";"ELABORAÇÃO , ANÁLISE PROJETO - ENGENHARIA";"ELABORAÇÃO / ANÁLISE PROJETO - ENGENHARIA";"1";"77000,00"
"26405";"Instituto Federal do Ceará";"158965";"CAMPUS ITAPIPOCA/IFCE";"000012024";"1589650600072202300003";"SUCO";"SUCO, APRESENTAÇÃO LÍQUIDO, SABOR VARIADO, TIPO NATURAL, CARACTERÍSTICASADICIONAIS PRONTO PARA CONSUMO E EMBALAGEM TIPO LONGA VIDA";"10400";"3,75"
"24000";"Ministério da Ciência, Tecnologia e Inovaç";"240120";"CENTRO BRASILEIRO DE PESQUISAS FISICAS";"000012024";"2401200500014202300001";"MANUTENÇÃO DE GRUPOS DIESEL GERADOR DE EMERGÊNCIA";"MANUTENÇÃO DE GRUPOS DIESEL GERADOR DE EMERGÊNCIA";"1";"15600,00"
"52131";"Comando da Marinha";"765720";"HOSPITAL NAVAL MARCILIO DIAS";"000012024";"7657200500007202300018";"PRESTAÇÃO SERVIÇO COPA / COZINHA";"PRESTAÇÃO SERVIÇO COPA , COZINHA";"1";"5026,28"
"26000";"Ministério da Educação - Unidades com vín";"152005";"INSTITUTO NACIONAL DE EDUCACAO DE SURDOS-RJ";"000012024";"1520050500034202300001";"INSTALAÇÃO E MONTAGEM DE REDE LOCAL DE CONECTIVIDADE";"INSTALAÇÃO E MONTAGEM DE REDE LOCAL DE CONECTIVIDADE";"1";"1669545,93"
"26420";"Instituto Federal Farroupilha";"158504";"CAMPUS DE SANTA ROSA";"000012024";"1585040500032202300118";"COMERCIALIZAÇÃO / RECONDICIONAMENTO DE PEÇA E COMPONENTE";"FORNECIMENTO DE PEÇAS";"1700";"9,50"
"52121";"Comando do Exército";"160021";"PARQUE REGIONAL DE MANUTENCAO/12";"000012024";"1600210500013202300009";"BOLO ALIMENTÍCIO";"BOLO ALIMENTÍCIO";"0";"2,00"
"26405";"Instituto Federal do Ceará";"158965";"CAMPUS ITAPIPOCA/IFCE";"000012024";"1589650600072202300006";"BASE: DE MANDIOCA, GRUPO: TAPIOCA, SUBGRUPO: GOMA";"AMIDO, BASE DE MANDIOCA, GRUPO TAPIOCA, SUBGRUPO GOMA";"190";"25,00"
"20701";"Instituto Brasileiro do Meio Ambiente e dos R";"193116";"IBAMA - SUPERINTENDENCIA DE PERNAMBUCO/PE";"000012024";"1931160600006202300001";"ELABORAÇÃO , ANÁLISE PROJETO - ENGENHARIA";"ELABORAÇÃO / ANÁLISE PROJETO - ENGENHARIA";"1";"8800,00"
"52131";"Comando da Marinha";"765720";"HOSPITAL NAVAL MARCILIO DIAS";"000012024";"7657200500007202300008";"PRESTAÇÃO SERVIÇO COPA / COZINHA";"PRESTAÇÃO SERVIÇO COPA , COZINHA";"114";"4562,93"
"26427";"Instituto Federal da Bahia";"158587";"INST. FED. DA BAHIA/CAMPUS ILHEUS";"000012024";"1585870600009202300026";"CONDIMENTO";"CONDIMENTO, TIPO COENTRO E SALSA, APRESENTAÇÃO NATURAL, ADICIONAL ORGÂNICO";"9";"15,87"
"26417";"Instituto Federal da Paraíba";"158470";"IFPB - CAMPUS PATOS";"000012024";"1584700600020202300001";"ÁGUA MINERAL NATURAL";"ÁGUA MINERAL NATURAL";"2700";"7,19"
"52121";"Comando do Exército";"160021";"PARQUE REGIONAL DE MANUTENCAO/12";"000012024";"1600210500013202300010";"SALGADOS DIVERSOS";"SALGADOS DIVERSOS";"0";"2,50"
